Family,MajorAxisLength,MinorAxisLength,Sample,Oto length (mm),Oto length (um),Type age,Region,Locality
Apogonidae,99.15350001,78.10266564,AT14-10-3,0.991535,991.5350001,Holocene,Bocas,Sweet Bocas SE Face
Apogonidae,102.4786109,42.48735564,AT14-9-1,1.024786109,1024.786109,Holocene,Bocas,Sweet Bocas SE Face
Apogonidae,110.2902594,87.12665042,AT13-7-7,1.102902594,1102.902594,Holocene,Bocas,Sweet Bocas Trench 6
Apogonidae,112.2676274,80.89064592,AT14-10-1,1.122676274,1122.676274,Holocene,Bocas,Sweet Bocas SE Face
Apogonidae,112.4594964,85.66902308,AT13-7-7,1.124594964,1124.594964,Holocene,Bocas,Sweet Bocas Trench 6
Apogonidae,114.2274773,86.46559463,AT13-7-7,1.142274773,1142.274773,Holocene,Bocas,Sweet Bocas Trench 6
Apogonidae,117.6772497,80.4500781,AT14-10-1,1.176772497,1176.772497,Holocene,Bocas,Sweet Bocas SE Face
Apogonidae,120.1762097,85.35189394,AT12-2-5,1.201762097,1201.762097,Holocene,Bocas,Sunset Point
Apogonidae,120.4745502,90.2844693,AT12-2-5,1.204745502,1204.745502,Holocene,Bocas,Sunset Point
Apogonidae,120.5258675,89.22964869,AT13-7-7,1.205258675,1205.258675,Holocene,Bocas,Sweet Bocas Trench 6
Apogonidae,121.1060209,101.3963471,AT12-2-5,1.211060209,1211.060209,Holocene,Bocas,Sunset Point
Apogonidae,121.4529086,90.10517143,AT12-2-4,1.214529086,1214.529086,Holocene,Bocas,Sunset Point
Apogonidae,124.7250381,90.70083478,AT12-2-5,1.247250381,1247.250381,Holocene,Bocas,Sunset Point
Apogonidae,129.4222289,95.44696152,AT13-7-7,1.294222289,1294.222289,Holocene,Bocas,Sweet Bocas Trench 6
Apogonidae,130.7128824,97.55978675,AT12-2-5,1.307128824,1307.128824,Holocene,Bocas,Sunset Point
Apogonidae,131.9311489,101.6803829,AT12-2-5,1.319311489,1319.311489,Holocene,Bocas,Sunset Point
Apogonidae,139.9170537,102.4266544,AT12-2-4,1.399170537,1399.170537,Holocene,Bocas,Sunset Point
Apogonidae,146.4859645,110.3864794,AT12-2-5,1.464859645,1464.859645,Holocene,Bocas,Sunset Point
Apogonidae,147.3834899,103.9235396,AT12-2-5,1.473834899,1473.834899,Holocene,Bocas,Sunset Point
Apogonidae,150.4744637,116.7110082,AT13-7-7,1.504744637,1504.744637,Holocene,Bocas,Sweet Bocas Trench 6
Apogonidae,150.9444744,107.487109,AT12-2-3,1.509444744,1509.444744,Holocene,Bocas,Sunset Point
Apogonidae,152.5801328,88.59547448,AT12-2-5,1.525801328,1525.801328,Holocene,Bocas,Sunset Point
Apogonidae,156.6597193,96.1131872,AT14-10-1,1.566597193,1566.597193,Holocene,Bocas,Sweet Bocas SE Face
Apogonidae,160.2668765,117.2612174,AT13-7-7,1.602668765,1602.668765,Holocene,Bocas,Sweet Bocas Trench 6
Apogonidae,170.174562,126.6597628,AT14-10-1,1.70174562,1701.74562,Holocene,Bocas,Sweet Bocas SE Face
Apogonidae,171.388957,125.0033197,AT14-9-1,1.71388957,1713.88957,Holocene,Bocas,Sweet Bocas SE Face
Apogonidae,173.1015971,130.3611723,AT13-7-7,1.731015971,1731.015971,Holocene,Bocas,Sweet Bocas Trench 6
Apogonidae,185.190452,127.5064898,AT14-10-1,1.85190452,1851.90452,Holocene,Bocas,Sweet Bocas SE Face
Apogonidae,186.8564851,126.5119636,AT14-9-1,1.868564851,1868.564851,Holocene,Bocas,Sweet Bocas SE Face
Apogonidae,204.9306236,163.508214,AT14-10-1,2.049306236,2049.306236,Holocene,Bocas,Sweet Bocas SE Face
Apogonidae,207.3011106,139.2882405,AT14-9-1,2.073011106,2073.011106,Holocene,Bocas,Sweet Bocas SE Face
Apogonidae,214.3704365,131.8867738,AT13-7-7,2.143704365,2143.704365,Holocene,Bocas,Sweet Bocas Trench 6
Apogonidae,239.7985004,172.2682344,AT13-7-7,2.397985004,2397.985004,Holocene,Bocas,Sweet Bocas Trench 6
Apogonidae,299.5443266,216.0381266,AT12-2-3,2.995443266,2995.443266,Holocene,Bocas,Sunset Point
Apogonidae,92.23398548,70.91168363,AT12-4-3-1,0.922339855,922.3398548,Sub Recent,Bocas,SW Bocas Island
Apogonidae,96.08981593,71.70708572,AT14-2-2,0.926688172,926.6881724,Sub Recent,Bocas,Punta Donato
Apogonidae,101.8537819,69.90807196,AT14-2-2,0.944686134,944.6861343,Sub Recent,Bocas,Punta Donato
Apogonidae,95.61254397,38.23862008,AT14-2-2,0.951001509,951.0015092,Sub Recent,Bocas,Punta Donato
Apogonidae,96.60558402,85.87867637,AT12-4-4-2,0.96605584,966.0558402,Sub Recent,Bocas,SW Bocas Island
Apogonidae,99.45605452,71.80324654,AT14-1-8,0.994560545,994.5605452,Sub Recent,Bocas,Casa Blanca new
Apogonidae,99.75746869,68.27017128,AT14-2-2,0.997574687,997.5746869,Sub Recent,Bocas,Punta Donato
Apogonidae,100.6176083,76.12217168,AT14-4-4,1.006176083,1006.176083,Sub Recent,Bocas,Airport Point
Apogonidae,102.2105212,75.02216624,AT12-4-3-1,1.022105212,1022.105212,Sub Recent,Bocas,SW Bocas Island
Apogonidae,102.5717844,74.21239062,AT12-1-2-1,1.025717844,1025.717844,Sub Recent,Bocas,STRI Point
Apogonidae,110.9975229,84.89800187,AT14-2-2,1.061617646,1061.617646,Sub Recent,Bocas,Punta Donato
Apogonidae,117.0888635,78.43882615,AT14-2-2,1.076746835,1076.746835,Sub Recent,Bocas,Punta Donato
Apogonidae,106.7609711,79.19812523,AT14-2-2,1.07974164,1079.74164,Sub Recent,Bocas,Punta Donato
Apogonidae,108.5588381,80.73079346,AT14-2-2,1.082078936,1082.078936,Sub Recent,Bocas,Punta Donato
Apogonidae,107.6022836,85.42800749,AT14-2-2,1.086303309,1086.303309,Sub Recent,Bocas,Punta Donato
Apogonidae,112.4328058,88.10711359,AT14-2-2,1.095762813,1095.762813,Sub Recent,Bocas,Punta Donato
