Sample,Type_age,Region,Locality,Family,genus,MajorAxisLength,MinorAxisLength,oto_length_mm,oto_length_um
AT13-7-7,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,60.15483022,56.71030283,0.601548302,601.5483022
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,65.77446247,57.85929382,0.657744625,657.7446247
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,66.9575351,58.87067619,0.669575351,669.575351
AT13-7-6,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,67.9786468,64.4081694,0.679786468,679.786468
AT12-2-1,Holocene,Bocas,Sunset Point,Gobiidae,NA,68.21840568,59.62136598,0.682184057,682.1840568
AT13-7-6,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,68.23430851,59.2307078,0.682343085,682.3430851
AT13-7-6,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,68.71280291,56.76880123,0.687128029,687.1280291
AT13-7-4,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,69.53299933,58.84546163,0.695329993,695.3299933
AT12-2-1,Holocene,Bocas,Sunset Point,Gobiidae,NA,70.65161155,62.96972845,0.706516116,706.5161155
AT13-7-7,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,70.67052281,61.15278767,0.706705228,706.7052281
AT13-7-6,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,71.56161093,61.50018973,0.715616109,715.6161093
AT13-7-6,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,73.58169063,67.00657336,0.735816906,735.8169063
AT12-2-1,Holocene,Bocas,Sunset Point,Gobiidae,NA,73.64256591,64.97692366,0.736425659,736.4256591
AT13-7-7,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,73.70520214,61.07289509,0.737052021,737.0520214
AT13-7-7,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,74.99136373,64.72800582,0.749913637,749.9136373
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,75.77439568,66.12965002,0.757743957,757.7439568
AT13-7-7,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,75.79727941,62.39550553,0.757972794,757.9727941
AT13-7-7,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,76.42400996,67.78775939,0.7642401,764.2400996
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,76.51557519,70.89646142,0.765155752,765.1557519
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,76.68831123,66.4077697,0.766883112,766.8831123
AT13-7-8,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,76.69917055,67.3679469,0.766991706,766.9917055
AT12-14-4-1,Sub Recent,Dominican Republic,"Hickory Ship, La Caleta",Gobiidae,NA,68.76711864,67.97772095,0.687671186,687.6711864
AT13-7-4,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,76.76482459,65.82114263,0.767648246,767.6482459
AT13-7-7,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,77.02064553,69.54284228,0.770206455,770.2064553
AT13-7-7,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,77.43817556,66.06032199,0.774381756,774.3817556
AT13-7-6,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,77.96451626,64.78933437,0.779645163,779.6451626
AT12-2-1,Holocene,Bocas,Sunset Point,Gobiidae,NA,77.96574183,70.28025894,0.779657418,779.6574183
AT13-7-7,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,78.14442876,67.29025583,0.781444288,781.4442876
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,78.34263579,65.32430987,0.783426358,783.4263579
AT12-2-4,Holocene,Bocas,Sunset Point,Gobiidae,NA,78.47147929,67.55559381,0.784714793,784.7147929
AT12-2-1,Holocene,Bocas,Sunset Point,Gobiidae,NA,78.5680705,68.98080385,0.785680705,785.680705
AFH12-1-1-1-F,Holocene,Bocas,Sunset Point,Gobiidae,NA,78.67084217,76.6429346,0.786708422,786.7084217
AT13-7-4,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,78.74470858,72.43046859,0.787447086,787.4470858
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,78.78610777,66.98330934,0.787861078,787.8610777
AT13-7-8,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,78.7891966,65.56783628,0.787891966,787.891966
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,78.93835123,66.27227583,0.789383512,789.3835123
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,79.03272911,69.18193042,0.790327291,790.3272911
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,79.1687096,68.33345087,0.791687096,791.687096
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,79.177564,71.10174206,0.79177564,791.77564
AT13-7-6,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,79.25549276,68.64237782,0.792554928,792.5549276
AT13-7-6,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,79.2949,66.22373626,0.792949,792.949
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,79.45032732,64.24497149,0.794503273,794.5032732
AT12-2-4,Holocene,Bocas,Sunset Point,Gobiidae,NA,79.49709525,72.07644747,0.794970953,794.9709525
AT13-7-6,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,79.53712072,68.36678664,0.795371207,795.3712072
AT13-7-5,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,79.70500718,70.25462563,0.797050072,797.0500718
AT13-7-7,Holocene,Bocas,Sweet Bocas Trench 6,Gobiidae,NA,79.83315311,68.11936601,0.798331531,798.3315311
AT12-2-1,Holocene,Bocas,Sunset Point,Gobiidae,NA,80.00038025,68.29608485,0.800003803,800.0038025
AT12-2-3,Holocene,Bocas,Sunset Point,Gobiidae,NA,80.03349787,77.51477412,0.800334979,800.3349787
