ocean,region,site_name,sample,age_group,otolith,length_um,width_um,family
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-3-2,modern_bulk,1,2044.715,1032.52,Bythitidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-3-2,modern_bulk,2,1862.663,955.112,Bythitidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,3,1589.001,729.697,Bythitidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,4,2284.567,1073.294,Bythitidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-3,modern_bulk,1,2211.921,1092.835,Bythitidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-5,modern_bulk,2,2508.636,1206.559,Bythitidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-5,modern_bulk,3,1876.843,963.028,Bythitidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-5,modern_bulk,4,2077.438,1039.903,Bythitidae
Caribbean,Bocas del Toro,Punta Donato,AT14-2-1,modern_bulk,1,3447.232,1567.733,Bythitidae
Caribbean,Bocas del Toro,Punta Donato,AT14-2-1,modern_bulk,2,1871.451,989.896,Bythitidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-1,modern_bulk,3,2112.509,1124.944,Bythitidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-1,modern_bulk,4,2535.147,1158.224,Bythitidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 8,AT13-9-1,Holocene_bulk,1,3100.327,1658.334,Bythitidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 8,AT13-9-1,Holocene_bulk,2,2066.457,1050.111,Bythitidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 1,AT13-2-1,Holocene_bulk,3,1410.717,706.39,Bythitidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 1,AT13-2-1,Holocene_bulk,4,1441.044,764.841,Bythitidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,1,1450.573,671.133,Bythitidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-5,modern_bulk,2,1862.83,946.021,Bythitidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-8,modern_bulk,3,1680.012,884.474,Bythitidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 1,AT13-2-10,Holocene_bulk,1,1544.476,808.318,Bythitidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 2,AT13-3-10,Holocene_bulk,2,3051.289,1329.729,Bythitidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 5,AT13-6-3,Holocene_bulk,3,2037.535,1084.035,Bythitidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-4-1,modern_bulk,1,2414.353,1078.657,Bythitidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-4-2,modern_bulk,2,2766.129,1502.016,Bythitidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-6,modern_bulk,3,2282.258,1181.458,Bythitidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-2-2,modern_bulk,1,3580.645,1750,Bythitidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-3-1,modern_bulk,2,1119.407,608.233,Bythitidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-5-1,modern_bulk,3,2044.657,1006.951,Bythitidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-7,Holocene_bulk,1,1780.343,894.955,Bythitidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-10,Holocene_bulk,2,2040.323,970.43,Bythitidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-6-1,modern_bulk,3,2794.077,1315.213,Bythitidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-4-2,modern_bulk,1,1978.495,938.172,Bythitidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-3-1,modern_bulk,2,2046.271,897.849,Bythitidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-5-1,modern_bulk,3,2043.011,1026.882,Bythitidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-2-1,modern_bulk,1,3381.601,1554.696,Bythitidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-2-1,modern_bulk,2,1260.764,705.931,Bythitidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-1-1,modern_bulk,3,1830.645,869.624,Bythitidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-1-1,modern_bulk,4,2375,1111.559,Bythitidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-3-1,modern_bulk,1,1177.729,635.717,Bythitidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-3-2,modern_bulk,2,2510.931,1096.604,Bythitidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-3-2,modern_bulk,3,N/A,748.22,Bythitidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-8,modern_bulk,1,1990.747,767.189,Serranidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-3,modern_bulk,2,2685.484,1588.71,Serranidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-6,modern_bulk,3,2008.065,1104.839,Serranidae
Caribbean,Bocas del Toro,Punta Donato,AT14-2-5,modern_bulk,4,1559.457,675.208,Serranidae
Caribbean,Bocas del Toro,Punta Donato,AT14-2-4,modern_bulk,1,2374.396,1503.333,Haemulidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 4,AT13-5-3,Holocene_bulk,2,2765.703,1935.632,Haemulidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-5,Holocene_bulk,1,1145.502,1095.274,Bregmacerotidae
Caribbean,Bocas del Toro,Crawl Cay,AT13-11-2-1,modern_bulk,2,959.419,937.353,Bregmacerotidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-3-2,modern_bulk,3,1419.355,1473.79,Bregmacerotidae
Caribbean,Bocas del Toro,Punta Donato,AT14-2-1,modern_bulk,4,1366.873,1180.602,Bregmacerotidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 7,AT13-8-1,Holocene_bulk,1,1354.839,1299.731,Bregmacerotidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,2,1532.258,1471.774,Bregmacerotidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-8,modern_bulk,3,1064.516,1155.914,Bregmacerotidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-4,Holocene_bulk,1,2340.282,1662.407,Gerreidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-3-2,modern_bulk,2,1767.316,1266.98,Gerreidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-2,Holocene_bulk,3,1344.99,938.803,Gerreidae
Caribbean,Bocas del Toro,Sweet Bocas Trench 3,AT13-4-2,Holocene_bulk,1,1385.35,1011.432,Gerreidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-4,modern_bulk,2,3545.482,2323.331,Gerreidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-5,Holocene_bulk,1,1347.732,1039.447,Labridae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-3-2,modern_bulk,1,1112.903,745.968,Labridae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-4-1,modern_bulk,2,N/A,639.785,Labridae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-4-1,modern_bulk,3,N/A,1035.646,Labridae
Caribbean,Bocas del Toro,Sweet Bocas Trench 2,AT13-3-13,Holocene_bulk,1,834.455,538.358,Labridae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-1,modern_bulk,2,1464.334,896.366,Labridae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-4,modern_bulk,3,1176.312,812.921,Labridae
Caribbean,Bocas del Toro,STRI Point,AT12-1-2-1,modern_bulk,1,1245.21,872.052,Labridae
Caribbean,Bocas del Toro,STRI Point,AT12-1-2-2,modern_bulk,2,1126.778,740.635,Labridae
Caribbean,Bocas del Toro,STRI Point,AT12-1-3-1,modern_bulk,1,1738.146,1022.05,Clupeidae
Caribbean,Bocas del Toro,STRI Point,AT12-1-3-1,modern_bulk,2,1165.936,655.599,Clupeidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-3,Holocene_bulk,1,1347.475,801.308,Clupeidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-3,Holocene_bulk,2,N/A,775.956,Clupeidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-3,Holocene_bulk,3,N/A,919.307,Clupeidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-4,Holocene_bulk,1,1504.669,898.271,Clupeidae
Caribbean,Bocas del Toro,Sunset Point,AT12-2-6,Holocene_bulk,2,1029.691,736.813,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-1,modern_bulk,3,1217.117,634.948,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-1,modern_bulk,4,959.693,565.05,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,1,1227.966,728.339,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-2,modern_bulk,2,1226.092,686.217,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-3,modern_bulk,3,1288.581,732.468,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-3,modern_bulk,4,1127.002,599.443,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-7,modern_bulk,1,1901.174,1094.538,Clupeidae
Caribbean,Bocas del Toro,Sweet Bocas SE Face,AT14-10-3,Holocene_bulk,2,1346.665,738.311,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-8,modern_bulk,3,1300.22,703.557,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca new,AT14-1-8,modern_bulk,4,1028.566,625.272,Clupeidae
Caribbean,Bocas del Toro,Punta Donato,AT14-2-5,modern_bulk,1,1471.272,934.003,Clupeidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-1,modern_bulk,2,1211.071,738.606,Clupeidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-3,modern_bulk,3,1045.611,642.363,Clupeidae
Caribbean,Bocas del Toro,Sweet Bocas SE Face,AT14-7-1,Holocene_bulk,4,1329.803,780.206,Clupeidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-5,modern_bulk,1,1226.532,671.943,Clupeidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-5,modern_bulk,2,944.103,542.349,Clupeidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-5,modern_bulk,3,1141.748,662.779,Clupeidae
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3-5,modern_bulk,4,1075.002,625.263,Clupeidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-3-1,modern_bulk,1,1300.202,744.497,Clupeidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-4-1,modern_bulk,2,900.476,588.607,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-1-1,modern_bulk,3,1082.054,729.865,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-1-1,modern_bulk,4,1127.744,651.557,Clupeidae
Caribbean,Bocas del Toro,Punta Caracol,AT13-10-4-2,modern_bulk,1,1232.346,662.963,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-2-2,modern_bulk,2,1232.338,709.904,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-2-2,modern_bulk,3,1115.508,650.994,Clupeidae
Caribbean,Bocas del Toro,Casa Blanca,AT13-12-3-2,modern_bulk,1,1048.602,602.437,Clupeidae
