basin,region,site_name,sample,depth,unique,type,family,family_count,oto_count_total,sed_weight_whole_sample_kg,sed_weight_500_kg
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-1-1,modern_bulk,Paralichthyidae,1,34,0.85,0.1563
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-1-1,modern_bulk,Apogonidae,4,34,0.85,0.1563
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-1-1,modern_bulk,Engraulidae,1,34,0.85,0.1563
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-1-1,modern_bulk,Gobiidae,28,34,0.85,0.1563
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-1,modern_bulk,Apogonidae,15,93,1.15,0.261
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-1,modern_bulk,Atherinidae,3,93,1.15,0.261
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-1,modern_bulk,Bythitidae,1,93,1.15,0.261
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-1,modern_bulk,Engraulidae,7,93,1.15,0.261
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-1,modern_bulk,Gobiidae,61,93,1.15,0.261
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-1,modern_bulk,Labridae,1,93,1.15,0.261
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-1,modern_bulk,Sin_identificar,5,93,1.15,0.261
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-2,modern_bulk,Apogonidae,5,73,1.15,0.23893
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-2,modern_bulk,Atherinidae,1,73,1.15,0.23893
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-2,modern_bulk,Atherinidae,1,73,1.15,0.23893
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-2,modern_bulk,Bythitidae,1,73,1.15,0.23893
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-2,modern_bulk,Gobiidae,60,73,1.15,0.23893
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-2,modern_bulk,Labridae,1,73,1.15,0.23893
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-2,modern_bulk,Synodontidae,1,73,1.15,0.23893
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-2-2,modern_bulk,Sin_identificar,3,73,1.15,0.23893
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-3-1,modern_bulk,Apogonidae,3,62,1.15,0.23809
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-3-1,modern_bulk,Atherinidae,3,62,1.15,0.23809
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-3-1,modern_bulk,Bythitidae,1,62,1.15,0.23809
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-3-1,modern_bulk,Clupeidae,1,62,1.15,0.23809
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-3-1,modern_bulk,Clupeidae,1,62,1.15,0.23809
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-3-1,modern_bulk,Engraulidae,6,62,1.15,0.23809
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-3-1,modern_bulk,Gobiidae,47,62,1.15,0.23809
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-4-1,modern_bulk,Apogonidae,11,85,1.15,0.21289
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-4-1,modern_bulk,Atherinidae,2,85,1.15,0.21289
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-4-1,modern_bulk,Batrachoididae,1,85,1.15,0.21289
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-4-1,modern_bulk,Gobiidae,65,85,1.15,0.21289
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-4-1,modern_bulk,Sin_identificar,6,85,1.15,0.21289
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-5-1,modern_bulk,Apogonidae,1,20,1.1,0.27754
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-5-1,modern_bulk,Atherinidae,2,20,1.1,0.27754
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-5-1,modern_bulk,Bythitidae,1,20,1.1,0.27754
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-5-1,modern_bulk,Engraulidae,4,20,1.1,0.27754
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-5-1,modern_bulk,Gobiidae,10,20,1.1,0.27754
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-5-1,modern_bulk,Sin_identificar,2,20,1.1,0.27754
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-6-1,modern_bulk,Apogonidae,2,16,1.2,0.19713
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-6-1,modern_bulk,Atherinidae,1,16,1.2,0.19713
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-6-1,modern_bulk,Bythitidae,1,16,1.2,0.19713
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-6-1,modern_bulk,Clupeidae,1,16,1.2,0.19713
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-6-1,modern_bulk,Engraulidae,1,16,1.2,0.19713
Caribbean,Bocas del Toro,STRI Point,AT12-1,.,AT12-1-6-1,modern_bulk,Gobiidae,10,16,1.2,0.19713
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-1,Holocene_bulk,Apogonidae,1,82,1.15,0.05814
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-1,Holocene_bulk,Atherinopsidae,1,82,1.15,0.05814
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-1,Holocene_bulk,Engraulidae,3,82,1.15,0.05814
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-1,Holocene_bulk,Gerreidae,2,82,1.15,0.05814
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-1,Holocene_bulk,Gobiidae,66,82,1.15,0.05814
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-1,Holocene_bulk,Haemulidae,1,82,1.15,0.05814
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-1,Holocene_bulk,Sin_identificar,8,82,1.15,0.05814
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-10,Holocene_bulk,Apogonidae,3,12,1.5,0.13242
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-10,Holocene_bulk,Bythitidae,1,12,1.5,0.13242
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-10,Holocene_bulk,Engraulidae,3,12,1.5,0.13242
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-10,Holocene_bulk,Gobiidae,1,12,1.5,0.13242
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-10,Holocene_bulk,Sin_identificar,4,12,1.5,0.13242
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-2,Holocene_bulk,Apogonidae,1,53,1.1,0.029
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-2,Holocene_bulk,Atherinidae,1,53,1.1,0.029
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-2,Holocene_bulk,Engraulidae,14,53,1.1,0.029
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-2,Holocene_bulk,Gerreidae,1,53,1.1,0.029
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-2,Holocene_bulk,Gobiidae,33,53,1.1,0.029
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-2,Holocene_bulk,Opistognathidae,1,53,1.1,0.029
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-2,Holocene_bulk,Sin_identificar,2,53,1.1,0.029
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-3,Holocene_bulk,Apogonidae,2,132,0.85,0.05566
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-3,Holocene_bulk,Atherinidae,1,132,0.85,0.05566
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-3,Holocene_bulk,Atherinidae,1,132,0.85,0.05566
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-3,Holocene_bulk,Clupeidae,1,132,0.85,0.05566
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-3,Holocene_bulk,Clupeidae,2,132,0.85,0.05566
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-3,Holocene_bulk,Engraulidae,40,132,0.85,0.05566
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-3,Holocene_bulk,Gerreidae,5,132,0.85,0.05566
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-3,Holocene_bulk,Gobiidae,62,132,0.85,0.05566
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-3,Holocene_bulk,Labridae,1,132,0.85,0.05566
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-3,Holocene_bulk,Synodontidae,1,132,0.85,0.05566
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-3,Holocene_bulk,Sin_identificar,16,132,0.85,0.05566
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-4,Holocene_bulk,Apogonidae,2,89,0.9,0.05891
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-4,Holocene_bulk,Clupeidae,1,89,0.9,0.05891
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-4,Holocene_bulk,Engraulidae,15,89,0.9,0.05891
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-4,Holocene_bulk,Gerreidae,1,89,0.9,0.05891
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-4,Holocene_bulk,Gerreidae,1,89,0.9,0.05891
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-4,Holocene_bulk,Gobiidae,51,89,0.9,0.05891
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-4,Holocene_bulk,Lutjanidae,1,89,0.9,0.05891
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-4,Holocene_bulk,Pomacentridae,1,89,0.9,0.05891
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-4,Holocene_bulk,Sin_identificar,16,89,0.9,0.05891
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-5,Holocene_bulk,Apogonidae,10,78,0.85,0.14546
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-5,Holocene_bulk,Atherinidae,1,78,0.85,0.14546
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-5,Holocene_bulk,Bregmacerotidae,1,78,0.85,0.14546
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-5,Holocene_bulk,Engraulidae,26,78,0.85,0.14546
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-5,Holocene_bulk,Gerreidae,3,78,0.85,0.14546
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-5,Holocene_bulk,Gobiidae,27,78,0.85,0.14546
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-5,Holocene_bulk,Labridae,1,78,0.85,0.14546
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-5,Holocene_bulk,Scaridae,1,78,0.85,0.14546
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-5,Holocene_bulk,Sin_identificar,8,78,0.85,0.14546
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-6,Holocene_bulk,Clupeidae,1,12,1.2,0.11762
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-6,Holocene_bulk,Engraulidae,3,12,1.2,0.11762
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-6,Holocene_bulk,Gobiidae,5,12,1.2,0.11762
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-6,Holocene_bulk,Sin_identificar,3,12,1.2,0.11762
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-7,Holocene_bulk,Bythitidae,1,15,1.15,0.10883
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-7,Holocene_bulk,Engraulidae,5,15,1.15,0.10883
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-7,Holocene_bulk,Gobiidae,7,15,1.15,0.10883
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-7,Holocene_bulk,Sin_identificar,2,15,1.15,0.10883
Caribbean,Bocas del Toro,Sunset Point,AT12-2,.,AT12-2-9,Holocene_bulk,Engraulidae,1,4,1.05,0.11992
