Site,Depth_m,Group,Family,Genus,Species,SL_mm,TL_mm
Airport Point,1.9,AP1,Apogonidae,Apogon,Apogon binotatus,21.5,25.5
Airport Point,1.9,AP1,Apogonidae,Phaeoptyx,Phaeoptyx xenus,19.84,35.18
Airport Point,1.9,AP1,Apogonidae,Phaeoptyx,Phaeoptyx xenus,20.32,40
Airport Point,1.9,AP1,Apogonidae,Phaeoptyx,Phaeoptyx xenus,27.3,41.68
Airport Point,1.9,AP1,Apogonidae,Phaeoptyx,Phaeoptyx xenus,27.9,49.16
Airport Point,1.9,AP1,Apogonidae,Phaeoptyx,Phaeoptyx xenus,31.42,.
Airport Point,1.9,AP1,Apogonidae,Phaeoptyx,Phaeoptyx xenus,32.1,.
Airport Point,1.9,AP1,Apogonidae,Phaeoptyx,Phaeoptyx xenus,37.3,65.2
Airport Point,1.9,AP1,Bythitidae,Ogilbia,Ogilbia sp.,59.68,24.06
Airport Point,1.9,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,19.15,.
Airport Point,1.9,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,34,25.65
Airport Point,1.9,AP1,Pomacentridae,Stegastes,Stegastes adustus,20.4,112.44
Airport Point,1.9,AP1,Labridae,Scarus,Scarus iseri,98.32,84.1
Airport Point,1.9,AP1,Serranidae,Hypoplectrus,Hypoplectrus puella,68.64,48.26
Airport Point,1.9,AP1,Tetraodontidae,Canthigaster,Canthigaster rostrata,39.78,.
Airport Point,1.7,AP1,Batrachoididae,Amphichthys,Amphichthys cryptocentrus,36.46,26.84
Airport Point,1.7,AP1,Bythitidae,Ogilbia,Ogilbia sp.,24.21,.
Airport Point,1.7,AP1,Bythitidae,Ogilbia,Ogilbia sp.,34.93,10.41
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,9.13,14.54
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,9.98,15.41
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,11.36,16.38
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,11.9,16.98
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,12.79,18.29
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,13.37,19.02
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,13.51,19.04
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,14.39,19.39
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,15.2,19.8
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,15.3,20.47
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,15.51,21.71
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,15.63,21.72
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,15.98,23.89
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,17.06,28.35
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,17.74,.
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,19.89,18.63
Airport Point,1.7,AP1,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,22.37,.
Airport Point,1.7,AP1,Gobiidae,Risor,Risor ruber,15.24,13.57
Airport Point,1.7,AP1,Labridae,Halichoeres,Halichoeres bivittatus,11.29,.
Airport Point,1.7,AP1,Labridae,Halichoeres,Halichoeres bivittatus,18.59,28.12
Airport Point,1.7,AP1,Pomacentridae,Stegastes,Stegastes adustus,22.08,71.99
Airport Point,1.7,AP1,Pomacentridae,Stegastes,Stegastes adustus,29.91,.
Airport Point,1.7,AP1,Pomacentridae,Stegastes,Stegastes adustus,46.83,.
Airport Point,1.7,AP1,Pomacentridae,Stegastes,Stegastes adustus,55.82,.
