Family,Genus,Species,Diet,Position
Acanthuridae,Acanthurus,Acanthurus bahianus,HerDet,BtPlDw
Acanthuridae,Acanthurus,Acanthurus chirurgus,HerDet,BtPlDw
Acanthuridae,Acanthurus,Acanthurus coeruleus,HerDet,BtPlDw
Acanthuridae,Acanthurus,Acanthurus tractus,HerDet,BtPlDw
Apogonidae,Apogon,Apogon binotatus,Plktiv,BtPlDw
Apogonidae,Phaeoptyx,Phaeoptyx xenus,Plktiv,BtPlDw
Apogonidae,Phaeoptyx,Phaeoptyx pigmentaria,Plktiv,BtPlDw
Aulostomidae,Aulostomus,Aulostomus maculatus,FisCep,BnthDw
Batrachoididae,Amphichthys,Amphichthys cryptocentrus,InvMob,BnthDw
Batrachoididae,Batrachoididae,Batrachoididae spp.,InvMob,BnthDw
Blenniidae,Parablennius,Parablennius marmoreus,Omnivr,BnthDw
Bythitidae,Ogilbia,Ogilbia sp.,InvMob,BnthDw
Carangidae,Decapterus,Decapterus punctatus,FisCep,PelgAs
Carangidae,Caranx,Caranx ruber,FisCep,PelgAs
Carangidae,Caranx,Caranx crysos,FisCep,PelgAs
Carangidae,Decapterus,Decapterus macarellus,FisCep,PelgAs
Chaenopsidae,Lucayablennius,Lucayablennius zingaro,Omnivr,BnthDw
Chaenopsidae,Emblemariopsis,Emblemariopsis signifer,Omnivr,BnthDw
Chaenopsidae,Emblemariopsis,Emblemariopsis sp.,Omnivr,BnthDw
Chaenopsidae,Hemiemblemaria,Hemiemblemaria simulus,Omnivr,BnthDw
Chaetodontidae,Chaetodon,Chaetodon capistratus,InvSes,BnthDw
Chaetodontidae,Chaetodon,Chaetodon ocellatus,InvSes,BnthDw
Chaetodontidae,Chaetodon,Chaetodon striatus,InvSes,BnthDw
Clupeidae,Jenkinsia,Jenkinsia lamprotaenia,Plktiv,PelgAs
Clupeidae,Clupeidae,Clupeidae spp.,Plktiv,PelgAs
Diodontidae,Diodon,Diodon hystrix,InvMob,BnthDw
Ephippidae,Chaetodipterus,Chaetodipterus faber,Omnivr,BnthDw
Gerreidae,Gerres,Gerres cinereus,InvMob,BnthDw
Gobiidae,Coryphopterus,Coryphopterus glaucofraenum,Omnivr,BnthDw
Gobiidae,Coryphopterus,Coryphopterus personatus,Plktiv,BnthDw
Gobiidae,Coryphopterus,Coryphopterus eidolon,Omnivr,BnthDw
