"","Family","biomass_production_mean","biomass_production_sd","biomass_production_stderr","production_mean","production_sd","production_stderr","abundance_mean","abundance_sd","abundance_stderr","turnover_mean","turnover_sd","turnover_stderr"
"1","Acanthuridae",6.47045593678271,9.1282172524933,1.99194031045488,4.20762488736708,6.60481356901783,1.44128848243313,0.934108079855703,1.91790422025005,0.418521012617671,0.365649760604613,0.219836621187156,0.0479722836720701
"2","Apogonidae",12.4099679771377,12.2569972840262,5.48149582542259,21.6982275253296,14.6947355827139,6.57168553486666,9.1407945520292,6.84251821278057,3.06006717221155,3.31594200495007,1.12126710888857,0.501445895281901
"3","Aulostomidae",4.49767874433952,NA,NA,1.45587789497214,NA,NA,0.422849991060254,NA,NA,0.153121489839495,NA,NA
"4","Batrachoididae",12.0537247139521,9.56276069385335,5.5210624607922,5.24105024692815,4.47865577085224,2.58575311490921,1.30078988281595,0.995507342594406,0.574756432227129,1.05725021239457,1.4382665189597,0.830383561887809
"5","Blenniidae",0.138340479530473,0.278606618056363,0.0881031484254701,0.297346867662909,0.291662990560534,0.0922319359347478,0.540883135837414,0.397806943193292,0.125797600952002,2.98412136154595,2.36651829888785,0.748358794895273
"6","Bythitidae",4.05697768982292,2.38996767322091,1.3798484794886,2.1795296223154,1.68562243126553,0.973194564443225,4.788449278097,3.70848481770372,2.14109470778688,0.890296738030531,0.540445024525094,0.312026080391757
"7","Carangidae",17.2080996374384,12.7574640656515,3.29396305774053,10.2124691136581,10.3878424602359,2.68212939010132,1.52103785929691,2.19131046281637,0.565793928590526,0.254154674383933,0.104114027035964,0.0268821261877917
"8","Chaenopsidae",0.0228258524531261,0.00892931800729598,0.00515534415519211,0.0963246932975513,0.0916643022263244,0.0529224095654476,0.675907403818226,0.518995690560743,0.299642301653501,3.07288469931888,2.94414026490967,1.69980017447761
"9","Chaetodontidae",2.79536104500915,2.16250016262098,0.35551283678256,2.28510816114763,1.50169402392146,0.246876976775195,0.725303720161235,0.640748556666093,0.105338413833275,0.654726899121055,0.584451981429403,0.0960833138756034
"10","Clupeidae",2.54418167116155,2.80556680280048,1.98383531133208,11.6843169319765,8.40528601569654,5.94343473951148,17.3475917127845,3.66545826386668,2.5918703945364,3.71851525181367,0.70444995167498,0.498121337835914
"11","Diodontidae",20.3911834913132,NA,NA,5.98603869358119,NA,NA,0.141946429075142,NA,NA,0.135855546210433,NA,NA
"12","Ephippidae",16.9083844945812,NA,NA,5.60346235745544,NA,NA,0.136839256134228,NA,NA,0.180354773059886,NA,NA
"13","Gerreidae",0.292733575780908,NA,NA,0.429549402896652,NA,NA,0.22988929712881,NA,NA,0.658159482799161,NA,NA
"14","Gobiidae",16.7800133961046,19.2504760818651,2.80797053001168,24.930010496986,24.5836017652867,3.58588686248117,57.969699091067,31.790232181288,4.63708194683967,1.2038205884571,1.06215975240672,0.154931923254212
"15","Grammatidae",0.134431453616798,NA,NA,0.197040511761139,NA,NA,0.660837697845879,NA,NA,0.531690557740139,NA,NA
"16","Haemulidae",12.5207364896192,15.8267493471123,2.60190156500098,8.66779692960277,13.1358140214273,2.15951452255417,3.49286418750747,6.68863294465221,1.09960448255807,0.416197286842636,0.310324325770315,0.0510170048928576
"17","Holocentridae",4.44693775525755,2.84227790494002,1.27110532127831,2.12145012133972,2.58636144615449,1.15665600159722,0.386693961646403,0.499353533436467,0.223317689113731,0.161882752929506,0.107443802878975,0.0480503293996952
"18","Labridae",35.7926094926402,21.4421589784877,3.19640833735039,33.1841109728686,22.1318756248419,3.29922522444781,12.926172686898,15.1036948113799,2.25152588731042,0.540819099182756,0.22834021241879,0.0340389491310105
"19","Labrisomidae",2.30074613988672,0.330868838882452,0.233959599657101,2.66538290000677,1.71145394106479,1.21018068741535,1.96780068475782,1.31428924583091,0.929342838167593,1.50622799042584,0.0587537368668867,0.0415451657586257
"20","Lutjanidae",11.7046031996765,11.2587382302513,3.00902436178385,5.67937745477112,5.42612228771973,1.45019218138466,1.02918192356824,1.57673702025396,0.421400694202369,0.240587107519093,0.123292241259259,0.0329512375171159
"21","Monacanthidae",1.79973258153023,NA,NA,0.731086769171321,NA,NA,0.316455696202532,NA,NA,0.177628637245558,NA,NA
"22","Mullidae",3.02319649245402,5.13071910589818,1.93922954301918,1.72322508890045,1.96580634605463,0.743004959624731,0.468045480869446,0.69683940096685,0.263380536958501,0.778927153793568,0.622453710425356,0.235265388633558
"23","Opistognathidae",0.183891020314075,NA,NA,0.0395130839187195,NA,NA,0.0406010071933239,NA,NA,0.116285676443144,NA,NA
