"","Family","Genus","Species","a_mean","b_mean","Lmax"
"1","Apogonidae","Apogon","Apogon binotatus",0.0237266666666667,2.96301111111111,8.86538461538461
"2","Apogonidae","Phaeoptyx","Phaeoptyx xenus",0.0072,3.3714,7.5
"3","Bythitidae","Ogilbia","Ogilbia sp.",0.0142,2.81273333333333,7
"4","Gobiidae","Coryphopterus","Coryphopterus glaucofraenum",0.01298,2.89233333333333,8
"5","Pomacentridae","Stegastes","Stegastes adustus",0.0244111111111111,3.0119,15
"6","Labridae","Scarus","Scarus iseri",0.01525,3.05325,35
"7","Serranidae","Hypoplectrus","Hypoplectrus puella",0.009,3.04,15.2399997711182
"8","Tetraodontidae","Canthigaster","Canthigaster rostrata",0.046376,2.80118,12
"9","Batrachoididae","Amphichthys","Amphichthys cryptocentrus",0.0104472972972973,3.13098648648649,40
"10","Gobiidae","Risor","Risor ruber",0.0117848300970874,3.03104733009709,2.5
"11","Labridae","Halichoeres","Halichoeres bivittatus",0.01195,3.01615,35
"12","Apogonidae","Phaeoptyx","Phaeoptyx pigmentaria",0.0072,3.3714,7.5
"13","Gobiidae","Coryphopterus","Coryphopterus personatus",0.01142,3.0844,4
"14","Gobiidae","Coryphopterus","Coryphopterus tortugae",0.01142,3.0844,5.36363636363636
"15","Pomacentridae","Stegastes","Stegastes partitus",0.0244111111111111,3.0119,10
"16","Pomacentridae","Stegastes","Stegastes xanthurus",0.0244111111111111,3.0119,12.7400000254313
"17","Blenniidae","Parablennius","Parablennius marmoreus",0.0104393333333333,3.05203333333333,8.5
"18","Gobiidae","Gnatholepis","Gnatholepis thompsoni",0.00351,3.766,8.19999980926514
"19","Gobiidae","Lythrypnus","Lythrypnus spilus",0.012,2.744,2.5
"20","Gobiidae","Tigrigobius","Tigrigobius saucrus",0.007045,3.36,3.37166664997737
"21","Serranidae","Serranus","Serranus flaviventris",0.0085,3.42535,8
"22","Labrisomidae","Starksia","Starksia sp.",0.01153,3.205,4.14000000953674
"23","Chaenopsidae","Emblemariopsis","Emblemariopsis sp.",0.007978,2.955,4
"24","Labrisomidae","Labrisomus","Labrisomus sp.",0.0327311111111111,3.02511111111111,21.7400001525879
"25","Pomacentridae","Stegastes","Stegastes planifrons",0.0244111111111111,3.0119,13
"26","Serranidae","Hypoplectrus","Hypoplectrus nigricans",0.009,3.04,15.2399997711182
"27","Chaetodontidae","Chaetodon","Chaetodon capistratus",0.01835,3.31005,15
"28","Pomacentridae","Stegastes","Stegastes variabilis",0.0156,3.13,12.5
"29","Serranidae","Serranus","Serranus tigrinus",0.0186869230769231,2.97354835164835,16.0473684511687
"30","Serranidae","Serranus","Serranus tortugarum",0.0186869230769231,2.97354835164835,8
"31","Gobiidae","Coryphopterus","Coryphopterus eidolon",0.01142,3.0844,6
"32","Gobiidae","Elacatinus","Elacatinus saucrus",0.0117166666666667,3.071,4.43999999219721
"33","Haemulidae","Haemulon","Haemulon plumierii",0.019925,2.95555,53
"34","Serranidae","Cephalopholis","Cephalopholis cruentata",0.0110733333333333,3.121,42.5999984741211
"35","Acanthuridae","Acanthurus","Acanthurus bahianus",0.026,2.87,12.8000001907349
"36","Haemulidae","Haemulon","Haemulon flavolineatum",0.013,3.034,30
"37","Lutjanidae","Lutjanus","Lutjanus analis",0.0132666666666667,3.02133333333333,94
"38","Lutjanidae","Lutjanus","Lutjanus apodus",0.01651,3.01805,67.8047618563213
"39","Pomacentridae","Abudefduf","Abudefduf saxatilis",0.02165,3.121,22.8999996185303
"40","Scorpaenidae","Pterois","Pterois volitans",0.015064,3.263,45.7000007629395
"41","Synodontidae","Synodus","Synodus intermedius",0.00256,3.45,46
"42","Carangidae","Decapterus","Decapterus punctatus",0.01015,3.0283,43.5
"43","Haemulidae","Haemulon","Haemulon spp.",0.0180994117647059,2.9944,38.2473684612073
"44","Chaetodontidae","Chaetodon","Chaetodon ocellatus",0.0318,2.984,20
"45","Haemulidae","Haemulon","Haemulon aurolineatum",0.0178133333333333,2.96043333333333,28
"46","Labridae","Bodianus","Bodianus rufus",0.0443092857142857,2.81993571428571,40
"47","Mullidae","Mulloidichthys","Mulloidichthys martinicus",0.01,3.0726,44.7999992370605
"48","Labridae","Sparisoma","Sparisoma viride",0.013865625,3.079228125,64
"49","Serranidae","Mycteroperca","Mycteroperca bonaci",0.013904,3.04622,150
"50","Aulostomidae","Aulostomus","Aulostomus maculatus",0.00208,3.3225,100
"51","Labridae","Thalassoma","Thalassoma bifasciatum",0.0107,2.916,25
"52","Labridae","Sparisoma","Sparisoma aurofrenatum",0.013865625,3.079228125,28
"53","Sciaenidae","Odontoscion","Odontoscion dentex",0.0105,3.007,30
"54","Serranidae","Hypoplectrus","Hypoplectrus unicolor",0.009,3.04,12.6999998092651
"55","Gobiidae","Elacatinus","Elacatinus xanthiprora",0.0117166666666667,3.071,4
"56","Haemulidae","Haemulon","Haemulon steindachneri",0.01005,3.137,30
"57","Acanthuridae","Acanthurus","Acanthurus chirurgus",0.0261,2.87185,39
